"art","description"
"https://w3id.org/zericatalog/artwork/16462","Opera d'arte ""Bonaccorsi Pietro , Tito Manlio, Allegoria della Fama, Allegoria della Vittoria, Allegoria della Pace, Allegoria della Concordia, Grottesche"" "
"https://w3id.org/zericatalog/artwork/16463","Artwork ""Bonaccorsi Pietro , Marco Curzio, Nettuno, Diana Efesia, Diana, Apollo, Rosoni"" "
"https://w3id.org/zericatalog/artwork/16463","Opera d'arte ""Bonaccorsi Pietro , Marco Curzio, Nettuno, Diana Efesia, Diana, Apollo, Rosoni"" "
"https://w3id.org/zericatalog/artwork/16464","Artwork ""Bonaccorsi Pietro , Camillo e Brenno, Putti con trofei guerreschi, Allegoria della Pace, Grottesche"" "
"https://w3id.org/zericatalog/artwork/16464","Opera d'arte ""Bonaccorsi Pietro , Camillo e Brenno, Putti con trofei guerreschi, Allegoria della Pace, Grottesche"" "
"https://w3id.org/zericatalog/artwork/16470","Artwork ""Bonaccorsi Pietro , Eroismo di Muzio Scevola, Putti giocano con insegne e spoglie guerresche, Putti con allegoria della Fama, Grottesche"" "
"https://w3id.org/zericatalog/artwork/16470","Opera d'arte ""Bonaccorsi Pietro , Eroismo di Muzio Scevola, Putti giocano con insegne e spoglie guerresche, Putti con allegoria della Fama, Grottesche"" "
"https://w3id.org/zericatalog/artwork/16472","Artwork ""Bonaccorsi Pietro , Putti con trofei guerreschi"" "
"https://w3id.org/zericatalog/artwork/16472","Opera d'arte ""Bonaccorsi Pietro , Putti con trofei guerreschi"" "
"https://w3id.org/zericatalog/artwork/16482","Artwork ""Bonaccorsi Pietro , Apollo, Marte, Giove, Diana"" "
"https://w3id.org/zericatalog/artwork/16482","Opera d'arte ""Bonaccorsi Pietro , Apollo, Marte, Giove, Diana"" "
"https://w3id.org/zericatalog/artwork/16514","Artwork ""Bonaccorsi Pietro , Angeli in volo"" "
"https://w3id.org/zericatalog/artwork/16514","Opera d'arte ""Bonaccorsi Pietro , Angeli in volo"" "
"https://w3id.org/zericatalog/artwork/16515","Artwork ""Bonaccorsi Pietro , Giove fulmina i Giganti"" "
"https://w3id.org/zericatalog/artwork/16515","Opera d'arte ""Bonaccorsi Pietro , Giove fulmina i Giganti"" "
"https://w3id.org/zericatalog/artwork/16516","Artwork ""Bonaccorsi Pietro , Trionfi di Lucio Emilio Paolo, Trionfo di Bacco, Divinità, Episodi di storia romana"" "
"https://w3id.org/zericatalog/artwork/16516","Opera d'arte ""Bonaccorsi Pietro , Trionfi di Lucio Emilio Paolo, Trionfo di Bacco, Divinità, Episodi di storia romana"" "
"https://w3id.org/zericatalog/artwork/16517","Artwork ""Bonaccorsi Pietro , Tarquinio il Superbo fonda il tempio di Giove sul Campidoglio"" "
"https://w3id.org/zericatalog/artwork/16517","Opera d'arte ""Bonaccorsi Pietro , Tarquinio il Superbo fonda il tempio di Giove sul Campidoglio"" "
"https://w3id.org/zericatalog/artwork/16529","Artwork ""Bonaccorsi Pietro , Giudizio di Zaleuco"" "
"https://w3id.org/zericatalog/artwork/16529","Opera d'arte ""Bonaccorsi Pietro , Giudizio di Zaleuco"" "
"https://w3id.org/zericatalog/artwork/16527","Artwork ""Bonaccorsi Pietro , Deposizione di Cristo nel sepolcro"" "
"https://w3id.org/zericatalog/artwork/16527","Opera d'arte ""Bonaccorsi Pietro , Deposizione di Cristo nel sepolcro"" "
"https://w3id.org/zericatalog/artwork/16528","Artwork ""Bonaccorsi Pietro , Passaggio del mar Rosso"" "
"https://w3id.org/zericatalog/artwork/16528","Opera d'arte ""Bonaccorsi Pietro , Passaggio del mar Rosso"" "
"https://w3id.org/zericatalog/artwork/16530","Artwork ""Bonaccorsi Pietro , Presa di Soissons"" , (component)"
"https://w3id.org/zericatalog/artwork/16530","Opera d'arte ""Bonaccorsi Pietro , Presa di Soissons"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/16531","Artwork ""Bonaccorsi Pietro , Vaso di Soissons"" , (component)"
"https://w3id.org/zericatalog/artwork/16531","Opera d'arte ""Bonaccorsi Pietro , Vaso di Soissons"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/16532","Artwork ""Bonaccorsi Pietro , Battaglia di Tolbiac"" , (component)"
"https://w3id.org/zericatalog/artwork/16532","Opera d'arte ""Bonaccorsi Pietro , Battaglia di Tolbiac"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/17295","Artwork ""Siciolante Girolamo da Sermoneta , Battesimo di re Clodoveo"" , (component)"
"https://w3id.org/zericatalog/artwork/17295","Opera d'arte ""Siciolante Girolamo da Sermoneta , Battesimo di re Clodoveo"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/18574","Artwork ""Tibaldi Pellegrino , Clodoveo mostra ai suoi soldati come raggiungere il nemico a Tolbiac"" , (component)"
"https://w3id.org/zericatalog/artwork/18574","Opera d'arte ""Tibaldi Pellegrino , Clodoveo mostra ai suoi soldati come raggiungere il nemico a Tolbiac"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/16533","Artwork ""Bonaccorsi Pietro , Buon ladrone"" , (fragment)"
"https://w3id.org/zericatalog/artwork/16533","Opera d'arte ""Bonaccorsi Pietro , Buon ladrone"" , (frammento)"
"https://w3id.org/zericatalog/artwork/16534","Artwork ""Bonaccorsi Pietro , Cattivo ladrone"" , (fragment)"
"https://w3id.org/zericatalog/artwork/16534","Opera d'arte ""Bonaccorsi Pietro , Cattivo ladrone"" , (frammento)"
"https://w3id.org/zericatalog/artwork/16536","Artwork ""Anonimo sec. XVI , Sacra Famiglia"" "
"https://w3id.org/zericatalog/artwork/16536","Opera d'arte ""Anonimo sec. XVI , Sacra Famiglia"" "
"https://w3id.org/zericatalog/artwork/16537","Artwork ""Bonaccorsi Pietro , Sacra Famiglia"" "
"https://w3id.org/zericatalog/artwork/16537","Opera d'arte ""Bonaccorsi Pietro , Sacra Famiglia"" "
"https://w3id.org/zericatalog/artwork/16538","Artwork ""Circignani Nicolò , Sacra Famiglia"" "
"https://w3id.org/zericatalog/artwork/16538","Opera d'arte ""Circignani Nicolò , Sacra Famiglia"" "
"https://w3id.org/zericatalog/artwork/16539","Artwork ""Bonaccorsi Pietro , Cristo Redentore benedicente"" "
"https://w3id.org/zericatalog/artwork/16539","Opera d'arte ""Bonaccorsi Pietro , Cristo Redentore benedicente"" "
"https://w3id.org/zericatalog/artwork/16540","Artwork ""Bonaccorsi Pietro , Adorazione del Bambino con san Giovanni Battista, san Sebastiano, san Rocco, san Giuseppe, san Giacomo Maggiore e santa Caterina d'Alessandria"" "
"https://w3id.org/zericatalog/artwork/16540","Opera d'arte ""Bonaccorsi Pietro , Adorazione del Bambino con san Giovanni Battista, san Sebastiano, san Rocco, san Giuseppe, san Giacomo Maggiore e santa Caterina d'Alessandria"" "
"https://w3id.org/zericatalog/artwork/16541","Artwork ""Anonimo sec. XVI , Sacra Famiglia"" "
"https://w3id.org/zericatalog/artwork/16541","Opera d'arte ""Anonimo sec. XVI , Sacra Famiglia"" "
"https://w3id.org/zericatalog/artwork/16542","Artwork ""Bonaccorsi Pietro , Ritratto del cardinale Alessandro Farnese"" "
"https://w3id.org/zericatalog/artwork/16542","Opera d'arte ""Bonaccorsi Pietro , Ritratto del cardinale Alessandro Farnese"" "
