"art","a_label","subj1","subj3","subj4","subj5"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-7","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","Santo apostolo"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-7","Santo apostolo (statua, elemento d'insieme) di Briosco Benedetto detto Juniore (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/39a47e59917b2d82235a2b1137930a15","11 H (...)","Santo apostolo","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-8","profeta (statua, elemento d'insieme) by Mantegazza (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/5a47ee599dcb251080584abaf3a28a5b","11 I 62 (...) 3","profeta","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000208A-8","profeta (statua, elemento d'insieme) by Mantegazza (scuola) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/5a47ee599dcb251080584abaf3a28a5b","11 I 62 (...) 3","profeta","profeta"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000209","motivi decorativi architettonici e figure (tabernacolo - a tempietto, opera isolata) by Le Moiturier Antoine (seconda metà sec. XV)","https://w3id.org/arco/resource/Subject/47af8c3086d931a6bee690c6bfce607c","48 A 98","motivi decorativi architettonici e figure","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000209","motivi decorativi architettonici e figure (tabernacolo - a tempietto, opera isolata) by Le Moiturier Antoine (seconda metà sec. XV)","https://w3id.org/arco/resource/Subject/47af8c3086d931a6bee690c6bfce607c","48 A 98","motivi decorativi architettonici e figure","motivi decorativi architettonici e figure"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000210-1","statua funebre di Ludovico II di Monferrato (statua, elemento d'insieme) by Briosco Benedetto detto Juniore (attribuito) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/594e83192bd5b6be713dd960210cdfcf","61 B 2 (LUDOVICO II DI MONFERRATO) 11 (+34) : 31 A 23 6","statua funebre di Ludovico II di Monferrato","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000210-1","statua funebre di Ludovico II di Monferrato (statua, elemento d'insieme) by Briosco Benedetto detto Juniore (attribuito) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/594e83192bd5b6be713dd960210cdfcf","61 B 2 (LUDOVICO II DI MONFERRATO) 11 (+34) : 31 A 23 6","statua funebre di Ludovico II di Monferrato","statua funebre di Ludovico II di Monferrato"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000210-2","Virtù (rilievo, elemento d'insieme) di Pietro da Rho (attribuito) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/c7cc8b122b4074e8048023ec92d2abb7","11 M 2","Virtù","Virtù"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000210-2","Virtù (rilievo, elemento d'insieme) di Pietro da Rho (attribuito) (inizio sec. XVI)","https://w3id.org/arco/resource/Subject/c7cc8b122b4074e8048023ec92d2abb7","11 M 2","Virtù","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
