art,subject1,subj_qualified,subject2,subject3
http://www.wikidata.org/entity/Q18688140,http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q154326 @ http://www.wikidata.org/entity/Q235113,,http://www.wikidata.org/entity/Q154326,73A522
http://www.wikidata.org/entity/Q19911552,http://www.wikidata.org/entity/Q154326 @ http://www.wikidata.org/entity/Q81989 @ http://www.wikidata.org/entity/Q40458125 @ http://www.wikidata.org/entity/Q235113 @ http://www.wikidata.org/entity/Q345,,http://www.wikidata.org/entity/Q154326,73A522
http://www.wikidata.org/entity/Q3947796,http://www.wikidata.org/entity/Q33923,,http://www.wikidata.org/entity/Q33923,11H(PETER)
http://www.wikidata.org/entity/Q9392232,http://www.wikidata.org/entity/Q151771 @ http://www.wikidata.org/entity/Q1104430 @ http://www.wikidata.org/entity/Q283 @ http://www.wikidata.org/entity/Q235113 @ http://www.wikidata.org/entity/Q1187930 @ http://www.wikidata.org/entity/Q154326 @ http://www.wikidata.org/entity/Q404785 @ http://www.wikidata.org/entity/Q506 @ http://www.wikidata.org/entity/Q193837 @ http://www.wikidata.org/entity/Q49005 @ http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q571 @ http://www.wikidata.org/entity/Q81989 @ http://www.wikidata.org/entity/Q35473,,http://www.wikidata.org/entity/Q154326,73A522 @ 73A52
http://www.wikidata.org/entity/Q16166928,http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q154326 @ http://www.wikidata.org/entity/Q345,,http://www.wikidata.org/entity/Q154326,73A522
http://www.wikidata.org/entity/Q18572527,http://www.wikidata.org/entity/Q235113 @ http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q154326,,http://www.wikidata.org/entity/Q154326,73A522
http://www.wikidata.org/entity/Q3907480,http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q345,,http://www.wikidata.org/entity/Q154326,73A522
http://www.wikidata.org/entity/Q15974328,http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q345,,http://www.wikidata.org/entity/Q154326,73A522
http://www.wikidata.org/entity/Q18508776,http://www.wikidata.org/entity/Q235113 @ http://www.wikidata.org/entity/Q585473 @ http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q154326,,http://www.wikidata.org/entity/Q154326,73A522
http://www.wikidata.org/entity/Q3842591,http://www.wikidata.org/entity/Q7560 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q942467 @ http://www.wikidata.org/entity/Q3010 @ http://www.wikidata.org/entity/Q33923 @ http://www.wikidata.org/entity/Q43399 @ http://www.wikidata.org/entity/Q345,,http://www.wikidata.org/entity/Q370665,11H(PETER) @ 11H(ANDREW) @ 11F4222
http://www.wikidata.org/entity/Q9392235,http://www.wikidata.org/entity/Q81989 @ http://www.wikidata.org/entity/Q154326 @ http://www.wikidata.org/entity/Q345,,http://www.wikidata.org/entity/Q154326,73A522
http://www.wikidata.org/entity/Q17323490,http://www.wikidata.org/entity/Q676555 @ http://www.wikidata.org/entity/Q33923 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q44248 @ http://www.wikidata.org/entity/Q328804 @ http://www.wikidata.org/entity/Q80513 @ http://www.wikidata.org/entity/Q192816,,http://www.wikidata.org/entity/Q51636,11H(PETER) @ 11HH(BARBARA) @ 73D642 @ 73D646 @ 11H(JEROME) @ 11H(ANTONY OF PADUA)343 @ 11HH(CECILIA)
http://www.wikidata.org/entity/Q19911516,http://www.wikidata.org/entity/Q302 @ http://www.wikidata.org/entity/Q154326 @ http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q2984138 @ http://www.wikidata.org/entity/Q235113 @ http://www.wikidata.org/entity/Q81989,,http://www.wikidata.org/entity/Q154326,73A522
