artwork	prop1	prop2
http://dbpedia.org/resource/Saint_Longinus_(Bernini)	http://dbpedia.org/resource/Category:1630s_sculptures @ http://dbpedia.org/resource/Category:Marble_sculptures @ http://dbpedia.org/resource/Category:Sculptures_by_Gian_Lorenzo_Bernini	http://dbpedia.org/resource/Longinus
http://dbpedia.org/resource/Bust_of_York	http://dbpedia.org/resource/Category:2021_disestablishments_in_Oregon @ http://dbpedia.org/resource/Category:2021_establishments_in_Oregon @ http://dbpedia.org/resource/Category:2021_sculptures @ http://dbpedia.org/resource/Category:Busts_in_Oregon @ http://dbpedia.org/resource/Category:Destroyed_sculptures @ http://dbpedia.org/resource/Category:Guerilla_art_and_hacking_art @ http://dbpedia.org/resource/Category:Lewis_and_Clark_Expedition @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Portland,_Oregon @ http://dbpedia.org/resource/Category:Mount_Tabor,_Portland,_Oregon @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Portland,_Oregon @ http://dbpedia.org/resource/Category:Sculptures_of_African_Americans @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_Oregon @ http://dbpedia.org/resource/Category:Vandalized_works_of_art_in_Oregon @ http://dbpedia.org/resource/Category:Wooden_sculptures_in_Oregon	http://dbpedia.org/resource/York_(explorer)
http://dbpedia.org/resource/George_Washington_(Fairbanks)	http://dbpedia.org/resource/Category:1975_sculptures @ http://dbpedia.org/resource/Category:Busts_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:Busts_of_presidents_of_the_United_States @ http://dbpedia.org/resource/Category:Foggy_Bottom @ http://dbpedia.org/resource/Category:George_Washington_University @ http://dbpedia.org/resource/Category:George_Washington_in_art @ http://dbpedia.org/resource/Category:Monuments_and_memorials_to_George_Washington_in_the_United_States @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Washington,_D.C.	http://dbpedia.org/resource/George_Washington
http://dbpedia.org/resource/Statue_of_Saint_Ludmila,_Charles_Bridge	http://dbpedia.org/resource/Category:Christian_sculptures @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Prague @ http://dbpedia.org/resource/Category:Sculptures_of_women_in_Prague @ http://dbpedia.org/resource/Category:Statues_on_the_Charles_Bridge	http://dbpedia.org/resource/Ludmila_of_Bohemia
http://dbpedia.org/resource/Pikachu_(sculpture)	http://dbpedia.org/resource/Category:2016_establishments_in_Louisiana @ http://dbpedia.org/resource/Category:2016_sculptures @ http://dbpedia.org/resource/Category:Fiberglass_sculptures_in_the_United_States @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Louisiana @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Louisiana @ http://dbpedia.org/resource/Category:Statues_in_Louisiana @ http://dbpedia.org/resource/Category:Statues_of_fictional_characters @ http://dbpedia.org/resource/Category:Vandalized_works_of_art_in_Louisiana @ http://dbpedia.org/resource/Category:Works_based_on_Pokémon @ http://dbpedia.org/resource/Category:Works_of_unknown_authorship	http://dbpedia.org/resource/Pikachu
http://dbpedia.org/resource/Statues_of_James_Michael_Curley	http://dbpedia.org/resource/Category:1980_establishments_in_Massachusetts @ http://dbpedia.org/resource/Category:1980_sculptures @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Massachusetts @ http://dbpedia.org/resource/Category:Government_Center,_Boston @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Boston @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Boston @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_Massachusetts @ http://dbpedia.org/resource/Category:Statues_in_Boston	James Michael Curley
http://dbpedia.org/resource/Holiday_Time_in_Cape_Town_in_the_Twentieth_Century,_in_Honour_of_the_Expected_Arrival_of_a_Governor-General_of_UNITED_South_Africa	http://dbpedia.org/resource/Category:1800s_paintings @ http://dbpedia.org/resource/Category:1899_paintings @ http://dbpedia.org/resource/Category:Cape_Town @ http://dbpedia.org/resource/Category:South_African_art @ http://dbpedia.org/resource/Category:South_African_paintings	Cape Town welcoming the first Governor-General of a future imagined South Africa.
http://dbpedia.org/resource/Saint_Susanna_(Duquesnoy)	http://dbpedia.org/resource/Category:1630s_sculptures @ http://dbpedia.org/resource/Category:Marble_sculptures_in_Italy @ http://dbpedia.org/resource/Category:Sculptures_by_François_Duquesnoy @ http://dbpedia.org/resource/Category:Works_about_ancient_Rome	http://dbpedia.org/resource/Saint_Susanna
http://dbpedia.org/resource/Statue_of_Julius_Sterling_Morton	http://dbpedia.org/resource/Category:1937_establishments_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:1937_sculptures @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:National_Statuary_Hall_Collection @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_Washington,_D.C.	http://dbpedia.org/resource/Julius_Sterling_Morton
http://dbpedia.org/resource/Bust_of_Nicolas_Poussin	http://dbpedia.org/resource/Category:1620s_sculptures @ http://dbpedia.org/resource/Category:1630s_sculptures @ http://dbpedia.org/resource/Category:Marble_sculptures @ http://dbpedia.org/resource/Category:Marble_sculptures_in_Germany @ http://dbpedia.org/resource/Category:Sculptures_by_François_Duquesnoy @ http://dbpedia.org/resource/Category:Sculptures_in_Germany @ http://dbpedia.org/resource/Category:Sculptures_of_the_Berlin_State_Museums	http://dbpedia.org/resource/Nicolas_Poussin
