artwork	subject
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20186569_147_869	Madonna (d.h. Maria mit Kind) in der Luft, oder auf Wolken
http://data.europeana.eu/proxy/provider/2023009/23096B51_priref_11323	turnen
http://data.europeana.eu/proxy/provider/90402/SK_A_3882	Engeland
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_3348	beeldhouwwerken
http://data.europeana.eu/proxy/provider/90402/SK_A_3835	urn:rijksmuseum:people:RM0001.PEOPLE.63233
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_20720	beeldhouwwerken
http://data.europeana.eu/proxy/provider/90402/SK_C_5	http://iconclass.org/45C1
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20064096_fmd466811	Darstellung des zunehmenden Mondes als Gesicht
http://data.europeana.eu/proxy/provider/90402/SK_A_1972	http://iconclass.org/42B74
http://data.europeana.eu/proxy/provider/2023007/PGRM_objects_34328	Afvalkuil
http://data.europeana.eu/proxy/provider/2023005/71053A51_priref_3294	schilderijen, pastel op papier
http://data.europeana.eu/proxy/provider/90402/SK_A_3944	http://iconclass.org/41C38
http://data.europeana.eu/proxy/provider/90402/SK_C_1462	1960 - 1960
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16527	schilderingen
http://data.europeana.eu/proxy/provider/2023005/71053A51_priref_2257	schilderijen, olieverf op doek
http://data.europeana.eu/proxy/provider/90402/SK_A_4472	http://iconclass.org/46B1
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_23484	beeldhouwwerken
http://data.europeana.eu/proxy/provider/2023012/71022A52_priref_22095	beeldhouwkunst
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_102	schilderingen
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16718	schilderingen
http://data.europeana.eu/proxy/provider/90402/SK_A_3548	RM0001.THESAU.67975
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_3685	beeldhouwwerken
http://data.europeana.eu/proxy/provider/2023005/71053A51_priref_963	schilderijen, olieverf op paneel
http://data.europeana.eu/proxy/provider/90402/SK_A_3849	RM0001.THESAU.4975
http://data.europeana.eu/proxy/provider/90402/SK_C_226	http://iconclass.org/25I12
